country	indicator	gini	region
Mauritius	0.78	38.13	Eastern
Botswana	0.68	52.29	Southern
Cape Verde	0.43	50.5	Western
South Africa	0.3	54.15	Southern
Namibia	0.28	67	Southern
Seychelles	0.11	39.9	Eastern
Ghana	-0.02	37.38	Western
Lesotho	-0.17	62	Southern
Senegal	-0.17	43.13	Western
Benin	-0.29	36.5	Western
Sao Tome and Principe	-0.34	50.8	Middle
Malawi	-0.36	44.9	Eastern
Zambia	-0.36	51	Eastern
Burkina Faso	-0.38	46.95	Western
Mozambique	-0.39	43.11	Eastern
Rwanda	-0.43	41	Eastern
Tanzania	-0.44	42	Eastern
Mali	-0.45	45.27	Western
Gambia	-0.49	50.45	Western
Madagascar	-0.52	43.4	Eastern
Gabon	-0.55	55.53	Middle
Uganda	-0.61	41.13	Eastern
Swaziland	-0.62	50.4	Southern
Djibouti	-0.65	41.27	Eastern
Kenya	-0.65	59.38	Eastern
Niger	-0.67	45.5	Western
Mauritania	-0.7	41.9	Western
Sierra Leone	-0.77	50.95	Middle
Cameroon	-0.88	41.3	Middle
Ethiopia	-0.9	30.5	Eastern
Togo	-0.9	34.1	Western
Comoros	-0.94	64.3	Eastern
Congo Rep	-1.02	44.63	Middle
Ivory Coast	-1.06	41.64	Western
Liberia	-1.07	40.6	Western
Angola	-1.1	40	Middle
Guinea-Bissau	-1.1	47.15	Western
Guinea	-1.16	44.55	Western
Burundi	-1.18	37.85	Eastern
Nigeria	-1.19	56.73	Western
Chad	-1.31	35	Middle
Middlen Republic	-1.47	58.15	Middle
Sudan	-1.52	39.83	Eastern
Congo Dem Rep	-1.62	44.4	Middle
South Sudan	-1.87	45.5	Eastern
Somalia	-2.28	39.7	Eastern
