country	indicator	gini	region
Comoros	-0.94	64.3	Eastern
Kenya	-0.65	59.38	Eastern
Zambia	-0.36	51	Eastern
South Sudan	-1.87	45.5	Eastern
Malawi	-0.36	44.9	Eastern
Madagascar	-0.52	43.4	Eastern
Mozambique	-0.39	43.11	Eastern
Tanzania	-0.44	42	Eastern
Djibouti	-0.65	41.27	Eastern
Uganda	-0.61	41.13	Eastern
Rwanda	-0.43	41	Eastern
Seychelles	0.11	39.9	Eastern
Sudan	-1.52	39.83	Eastern
Somalia	-2.28	39.7	Eastern
Mauritius	0.78	38.13	Eastern
Burundi	-1.18	37.85	Eastern
Ethiopia	-0.9	30.5	Eastern
Middlen Republic	-1.47	58.15	Middle
Gabon	-0.55	55.53	Middle
Sierra Leone	-0.77	50.95	Middle
Sao Tome and Principe	-0.34	50.8	Middle
Congo Rep	-1.02	44.63	Middle
Congo Dem Rep	-1.62	44.4	Middle
Cameroon	-0.88	41.3	Middle
Angola	-1.1	40	Middle
Chad	-1.31	35	Middle
Namibia	0.28	67	Southern
Lesotho	-0.17	62	Southern
South	0.3	54.15	Southern
Botswana	0.68	52.29	Southern
Swaziland	-0.62	50.4	Southern
Nigeria	-1.19	56.73	Western
Cape Verde	0.43	50.5	Western
Gambia	-0.49	50.45	Western
Guinea-Bissau	-1.1	47.15	Western
Burkina Faso	-0.38	46.95	Western
Niger	-0.67	45.5	Western
Mali	-0.45	45.27	Western
Guinea	-1.16	44.55	Western
Senegal	-0.17	43.13	Western
Mauritania	-0.7	41.9	Western
Ivory Coast	-1.06	41.64	Western
Liberia	-1.07	40.6	Western
Ghana	-0.02	37.38	Western
Benin	-0.29	36.5	Western
Togo	-0.9	34.1	Western
