Country,Mean WGI,Mean Gini
Mauritius,0.78,38.13
Botswana,0.68,52.29
Cape Verde,0.43,50.5
South Africa,0.3,54.15
Namibia,0.28,67
Seychelles,0.11,39.9
Ghana,-0.02,37.38
Lesotho,-0.17,62
Senegal,-0.17,43.13
Benin,-0.29,36.5
Sao Tome And Principe,-0.34,50.8
Malawi,-0.36,44.9
Zambia,-0.36,51
Burkina Faso,-0.38,46.95
Mozambique,-0.39,43.11
Rwanda,-0.43,41
Tanzania,-0.44,42
Mali,-0.45,45.27
Gambia,-0.49,50.45
Madagascar,-0.52,43.4
Gabon,-0.55,55.53
Uganda,-0.61,41.13
Swaziland,-0.62,50.4
Djibouti,-0.65,41.27
Kenya,-0.65,59.38
Niger,-0.67,45.5
Mauritania,-0.7,41.9
Sierra Leone,-0.77,50.95
Cameroon,-0.88,41.3
Ethiopia,-0.9,30.5
Togo,-0.9,34.1
Comoros,-0.94,64.3
Congo Rep,-1.02,44.63
Ivory Coast,-1.06,41.64
Liberia,-1.07,40.6
Angola,-1.1,40
Guinea-Bissau,-1.1,47.15
Guinea,-1.16,44.55
Burundi,-1.18,37.85
Nigeria,-1.19,56.73
Chad,-1.31,35
Central African Republic,-1.47,58.15
Sudan,-1.52,39.83
Congo Dem Rep,-1.62,44.4
South Sudan,-1.87,45.5
Somalia,-2.28,39.7
