country,wgi,gini,region
Mauritius,0.78,38.13,Eastern Africa
Botswana,0.68,52.29,Southern Africa
Cape Verde,0.43,50.5,Western Africa
South Africa,0.3,54.15,Southern Africa
Namibia,0.28,67,Southern Africa
Seychelles,0.11,39.9,Eastern Africa
Ghana,-0.02,37.38,Western Africa
Lesotho,-0.17,62,Southern Africa
Senegal,-0.17,43.13,Western Africa
Benin,-0.29,36.5,Western Africa
Sao Tome And Principe,-0.34,50.8,MIddle Africa
Malawi,-0.36,44.9,Eastern Africa
Zambia,-0.36,51,Eastern Africa
Burkina Faso,-0.38,46.95,Western Africa
Mozambique,-0.39,43.11,Eastern Africa
Rwanda,-0.43,41,Eastern Africa
Tanzania,-0.44,42,Eastern Africa
Mali,-0.45,45.27,Western Africa
Gambia,-0.49,50.45,Western Africa
Madagascar,-0.52,43.4,Eastern Africa
Gabon,-0.55,55.53,Middle Africa
Uganda,-0.61,41.13,Eastern Africa
Swaziland,-0.62,50.4,Southern Africa
Djibouti,-0.65,41.27,Eastern Africa
Kenya,-0.65,59.38,Eastern Africa
Niger,-0.67,45.5,Western Africa
Mauritania,-0.7,41.9,Western Africa
Sierra Leone,-0.77,50.95,Middle Africa
Cameroon,-0.88,41.3,Middle Africa
Ethiopia,-0.9,30.5,Eastern Africa
Togo,-0.9,34.1,Western Africa
Comoros,-0.94,64.3,Eastern Africa
Congo Rep,-1.02,44.63,Middle Africa
Ivory Coast,-1.06,41.64,Western Africa
Liberia,-1.07,40.6,Western Africa
Angola,-1.1,40,Middle Africa
Guinea-Bissau,-1.1,47.15,Western Africa
Guinea,-1.16,44.55,Western Africa
Burundi,-1.18,37.85,Eastern Africa
Nigeria,-1.19,56.73,Western Africa
Chad,-1.31,35,Middle Africa
Middle African Republic,-1.47,58.15,Middle Africa
Sudan,-1.52,39.83,Eastern Africa
Congo Dem Rep,-1.62,44.4,Middle Africa
South Sudan,-1.87,45.5,Eastern Africa
Somalia,-2.28,39.7,Eastern Africa
