country	indicator	gini	region
Namibia	0.28	67	Southern
Comoros	-0.94	64.3	Eastern
Lesotho	-0.17	62	Southern
Kenya	-0.65	59.38	Eastern
Middlen Republic	-1.47	58.15	Middle
Nigeria	-1.19	56.73	Western
Gabon	-0.55	55.53	Middle
South	0.3	54.15	Southern
Botswana	0.68	52.29	Southern
Zambia	-0.36	51	Eastern
Sierra Leone	-0.77	50.95	Middle
Sao Tome and Principe	-0.34	50.8	Middle
Cape Verde	0.43	50.5	Western
Gambia	-0.49	50.45	Western
Swaziland	-0.62	50.4	Southern
Guinea-Bissau	-1.1	47.15	Western
Burkina Faso	-0.38	46.95	Western
Niger	-0.67	45.5	Western
South Sudan	-1.87	45.5	Eastern
Mali	-0.45	45.27	Western
Malawi	-0.36	44.9	Eastern
Congo Rep	-1.02	44.63	Middle
Guinea	-1.16	44.55	Western
Congo Dem Rep	-1.62	44.4	Middle
Madagascar	-0.52	43.4	Eastern
Senegal	-0.17	43.13	Western
Mozambique	-0.39	43.11	Eastern
Tanzania	-0.44	42	Eastern
Mauritania	-0.7	41.9	Western
Ivory Coast	-1.06	41.64	Western
Cameroon	-0.88	41.3	Middle
Djibouti	-0.65	41.27	Eastern
Uganda	-0.61	41.13	Eastern
Rwanda	-0.43	41	Eastern
Liberia	-1.07	40.6	Western
Angola	-1.1	40	Middle
Seychelles	0.11	39.9	Eastern
Sudan	-1.52	39.83	Eastern
Somalia	-2.28	39.7	Eastern
Mauritius	0.78	38.13	Eastern
Burundi	-1.18	37.85	Eastern
Ghana	-0.02	37.38	Western
Benin	-0.29	36.5	Western
Chad	-1.31	35	Middle
Togo	-0.9	34.1	Western
Ethiopia	-0.9	30.5	Eastern
